Treatment ,Variety ,Direction ,Block,Plot,Rep,Year_Stability,Year_CN,Year_Bulk,Year_covercrop,Depth,Bulk_Density ,Stability,TotalOM,TotalN,CN,Cmin,Cmin%,NO3,NH4,Nmin,Nmin%,Humidity ,F_Mechanical actions,DG_soilTx,Stone:soil,Cover_DM_t_ha,Cover_potRestit_N,Cover_mesRestit_N,Cover_mesRestit_C
D_Viti,Artaban,VS,1,6,3,2019,2021,2020,2021,10,0.977216712,0.33,2.1,1.19,10.2,354,2.9,6.1,6.1,18.7,1.6,11.8,43,10.02189762,0.180343329,151468,1171428831,49298820,629699792
D_Viti,Artaban,VN,2,1,1,2019,2021,2020,2021,10,1.140342024,0.48,1.5,0.86,10.4,287,3.2,2.9,2.9,16.2,1.9,10.8,43,9.990539575,0.100925501,122456,20419280,43767528,538211920
D_Viti,Artaban,VN,2,1,2,2019,2021,2020,2021,10,1.140342024,0.61,1.5,0.86,10.4,287,3.2,2.9,2.9,16.2,1.9,10.8,43,9.990539575,0.100925501,122456,20419280,43767528,538211920
D_Viti,Artaban,VN,2,1,3,2019,2021,2020,2021,10,1.140342024,0.53,1.5,0.86,10.4,287,3.2,2.9,2.9,16.2,1.9,10.8,43,9.990539575,0.100925501,122456,20419280,43767528,538211920
D_Viti,Artaban,VN,2,2,1,2019,2021,2020,2021,10,1.158357929,0.39,1.5,0.86,10.4,287,3.2,2.9,2.9,16.2,1.9,10.8,43,9.990539575,0.053662643,103800,686324104,36467440,455696192
D_Viti,Artaban,VN,2,2,2,2019,2021,2020,2021,10,1.158357929,0.38,1.5,0.86,10.4,287,3.2,2.9,2.9,16.2,1.9,10.8,43,9.990539575,0.053662643,103800,686324104,36467440,455696192
D_Viti,Artaban,VN,2,2,3,2019,2021,2020,2021,10,1.158357929,0.41,1.5,0.86,10.4,287,3.2,2.9,2.9,16.2,1.9,10.8,43,9.990539575,0.053662643,103800,686324104,36467440,455696192
D_Viti,Artaban,VN,2,3,1,2019,2021,2020,2021,10,1.20151885,0.41,1.5,0.86,10.4,287,3.2,2.9,2.9,16.2,1.9,10.8,43,9.990539575,0.065093793,132976,115478368,47100208,581404480
D_Viti,Artaban,VN,2,3,2,2019,2021,2020,2021,10,1.20151885,0.4,1.5,0.86,10.4,287,3.2,2.9,2.9,16.2,1.9,10.8,43,9.990539575,0.065093793,132976,115478368,47100208,581404480
D_Viti,Artaban,VN,2,3,3,2019,2021,2020,2021,10,1.20151885,0.38,1.5,0.86,10.4,287,3.2,2.9,2.9,16.2,1.9,10.8,43,9.990539575,0.065093793,132976,115478368,47100208,581404480
D_Viti,Artaban,VS,2,4,1,2019,2021,2020,2021,10,1.209979925,0.49,1.8,0.98,10.7,321,3.1,3.4,3.4,16.1,1.6,11.1,43,9.990539575,0.126183418,174096,19435520,62454288,768244880
D_Viti,Artaban,VS,2,4,2,2019,2021,2020,2021,10,1.209979925,0.5,1.8,0.98,10.7,321,3.1,3.4,3.4,16.1,1.6,11.1,43,9.990539575,0.126183418,174096,19435520,62454288,768244880
D_Viti,Artaban,VS,2,4,3,2019,2021,2020,2021,10,1.209979925,0.56,1.8,0.98,10.7,321,3.1,3.4,3.4,16.1,1.6,11.1,43,9.990539575,0.126183418,174096,19435520,62454288,768244880
D_Viti,Artaban,VS,2,5,1,2019,2021,2020,2021,10,1.417355143,0.49,1.8,0.98,10.7,321,3.1,3.4,3.4,16.1,1.6,11.1,43,9.990539575,0.088716692,129920,66937872,45007080,574428872
